鄉鎮市區,土地區段位置或建物區門牌,建築完成年月,編號
士林區,臺北市士林區中山北路五段756巷19號,910109,RPTNMLSKLHKFFEA18CA
內湖區,臺北市內湖區瑞光路24號,901018,RPROMLSLLHKFFCA08DA
中山區,臺北市中山區長安東路二段104號,900313,RPTRMLTJMHKFFCA48CA
信義區,臺北市信義區光復南路513號,891124,RPQNMLTKLHKFFDA87CA
中山區,臺北市中山區敬業三路162巷158號,890628,RPPQMLLJMHKFFCA17CA
文山區,臺北市文山區福興路95巷87號,890529,RPVNMLOLLHKFFAA67CA
文山區,臺北市文山區景興路226號,890516,RPPPMLKMLHKFFAA96CA
大安區,臺北市大安區大安路一段16巷21號,881222,RPTNMLPLLHKFFFA08CA
內湖區,臺北市內湖區金湖路401巷11號,881202,RPOPMLKMLHKFFCA07CA
文山區,臺北市文山區興隆路四段109巷32弄15號,881117,RPUPMLLJMHKFFAA37CA
中山區,臺北市中山區中山北路二段59巷35號,880928,RPVPMLKMLHKFFCA77CA
中正區,臺北市中正區漢口街一段84號,880923,RPQNMLPLLHKFFBA37CA
中正區,臺北市中正區齊東街58號,880826,RPOOMLOLLHKFFBA17CA
文山區,臺北市文山區辛亥路六段21巷18號,880809,RPQPMLTKLHKFFAA77CA
文山區,臺北市文山區興隆路二段203巷38號,880329,RPOOMLKMLHKFFAA76CA
文山區,臺北市文山區興隆路二段203巷42號,880329,RPUNMLRLMHKFFAA97CA
